data.mel-adem-53-seriennummer,data.regenerations-cmd-code,data.regenerations-code
202453MD1188-2,,A8BE0B-MD-E8FB2E
201753CMD1617-2,F0CCB9-MC-E834CF,F0CCB9-MC-E834CF
202353MD1675-1,,CF78BB-MD-E88BA6
202353MD1675-2,,3F88BB-MD-E88EBC
202153MD1228-1,,87275C-MD-E8CA90
202353CMD1040-1,BD87FC-MC-E86248,
202153MD1006-2,,B575A9-MD-E825D7
202153CMD1073-2,CE480B-MC-E867FF,
201653MD1491-1,,B315A9-MD-E85B18
202253CMD1010-2,268F8B-MC-E878CB,
1453MD1530-1,,B1E4A9-MD-E8FD3A
202553MD1500-2,,F8AFA4-MD-E86BB7
202153MD1596-1,,019FA4-MD-E88BA1
1053MD1051-2,,B8F5A9-MD-E8B693
202553MD1155-2,,A925A9-MD-E8A7A3
201553MD1531-2,,935D0B-MD-E83A8A
1153MD1189-1,,4045A9-MD-E84D67
202153MD1242-2,,BCD5A9-MD-E88E18
202353MD1773-1,,65EA7F-MD-E80D93
201853MD1275-1,,F98E0B-MD-E8E533
201653MD1189-1,,51C58B-MD-E805E0
202053MD1323-1,,9DE06C-MD-E8AC36
1253MD1240-1,,ECEE0B-MD-E81D11
201953MD1291-2,,215D0B-MD-E84900
201653MD1417-1,,91F5A9-MD-E82A55
1153MD1052-2,,BE8DOB-MD-E850D8
201753MD1278-2,,484DOB-MD-E84324
202053MD1625-1,,9595A9-MD-E89BE3
202553CMD1127-1,376CB9-MC-E8BF90,376CB9-MC-E8BF90
202453MD1636-1,,8875A9-MD-E8630E
202253MD1007-1,,209FA4-MD-E8369F
202353MD1478-1,,B105A9-MD-E888A0
202653MD1029-1,,CD45A9-MD-E8EBC9
1053MD1072-1,,2A7D0B-MD-E8AA0D
1453MD1666-1,,23FB6B-MD-E80CEE
201753MD1532-2,,2B61DC-MD-E81550
202253MD1053-2,,CDF4A9-MD-E874C1
202353MD1228-2,,FFBD0B-MD-E8E1B2
202253MD1881-3,,565E0B-MD-E8E8E7
202453MD1855-2,,C22D0B-MD-E8FA1D
202153MD1533-2,,978FA4-MD-E8FA4B
201753MD1534-2,,2C1D0B-MD-E8F6FB
201953CMD1087-2,BD480B-MC-E8EA63,
201753MD1308-1,,BF4E0B-MD-E8EE59
1353MD1385-1,,53E79C-MD-E80DF3
202153MD1867-1,,CBDA7F-MD-E88F4B
202153MD1885-1,,3DEFDC-MD-E82638
201553MD1076-1,,A00D0B-MD-E8D1C7
201653MD1025-1,,37C5EC-MD-E852AD
202353MD1207-1,,C615A9-MD-E82704
201953MD1331-2,,CAC4A9-MD-E82978
202053MD1160-2,,D8D5A9-MD-E8CD2C
201753MD1010-3,,95167F-MD-E8025B
202253CMD1044-1,73726B-MC-E8A2CB,
202453CMD1116-2,81DDC1-MC-E8A56C,
202253MD1442-2,,CC35A9-MD-E85956
202253MD1760-1,,B93471-MD-E83D08
202453MD1572-1,,4843B1-MD-E85C56
1153MD1228-1,,E6C5A9-MD-E883CD
201953MD1476-1,,1265A9-MD-E867E7
1253MD1187-2,,82CD0B-MD-E8524D
201653MD1833-2,,231E0B-MD-E803A8
202353MD1246-1,,DE94A9-MD-E8F393
201853MD1299-2,,01DD0B-MD-E8D3C9
201753MD1421-1,,A92411-MD-E8A1F8
201553MD1027-2,,F3F87B-MD-E84EE5
201553MD1419-1,,FA64A9-MD-E8920B
202053MD1090-2,,B484A9-MD-E8034D
202553MD1759-2,,DEE4A9-MD-E88C0B
